Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
155,Andre Branch,MIA,DE,16,27,22,9.5,5.5,34.5,13,1,0,2,0,0,5.1,81.95,2016
157,Emmanuel Ogbah,CLE,DE,16,28,24,8.5,5.5,31.5,16,3,0,0,0,0,5.1,81.65,2016
158,TJ McDonald,LAR,FS,16,50,13,6.5,1.0,6.0,4,6,2,0,0,0,5.1,81.6,2016
159,Jairus Byrd,NO,FS,16,56,26,2.5,0.0,0.0,0,4,2,0,0,0,5.1,81.5,2016
159,Artie Burns,PIT,CB,16,51,13,2.0,0.0,0.0,0,13,3,0,0,0,5.1,81.5,2016
161,Patrick Chung,NE,SS,16,49,39,1.5,1.0,12.0,1,4,1,0,0,0,5.1,81.2,2016
162,Chris Conte,TB,FS,14,55,10,1.0,0.0,0.0,0,5,2,0,1,1,5.8,81.0,2016
163,Jurrell Casey,TEN,NT,15,31,12,8.0,5.0,38.0,17,5,0,0,0,0,5.4,80.8,2016
164,Vincent Rey,CIN,OLB,16,50,33,1.0,0.0,0.0,0,7,1,0,1,0,5.0,80.5,2016
165,Denzel Perryman,LAC,ILB,12,54,15,7.0,2.0,8.0,2,2,1,0,0,0,6.7,80.3,2016
166,AJ Bouye,HOU,CB,15,48,14,2.5,1.0,6.0,1,16,1,0,0,0,5.3,80.1,2016
167,Lardarius Webb,BAL,FS,16,59,14,2.0,1.0,10.0,1,5,1,0,0,0,5.0,80.0,2016
167,Dwight Lowery,LAC,FS,16,49,11,1.5,0.0,0.0,0,9,1,1,1,1,5.0,80.0,2016
167,Anthony Barr,MIN,OLB,16,38,33,4.0,2.0,15.0,8,2,0,1,1,0,5.0,80.0,2016
170,Harold Jones-Quartey,CHI,SS,16,64,11,2.0,0.0,0.0,0,5,1,0,0,0,5.0,79.5,2016
171,Quintin Demps,HOU,SS,13,38,17,1.5,0.0,0.0,1,9,6,1,0,0,6.1,79.0,2016
