Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
111,D.J. Moore,CAR,WR,16,0,0,0,172,0,55,788,2,3,6.4,102.0,2018
112,Doug Martin,OAK,RB,16,0,0,0,723,4,18,116,0,3,6.4,101.9,2018
112,John Brown,BAL,WR,16,0,0,0,4,0,42,715,5,0,6.4,101.9,2018
114,Dion Lewis,TEN,RB,16,0,0,0,517,1,59,400,1,1,6.4,101.7,2018
115,Nelson Agholor,PHI,WR,16,15,0,0,32,0,64,736,4,0,6.3,101.4,2018
116,Leonard Fournette,JAX,RB,8,0,0,0,439,5,22,185,1,0,12.3,98.4,2018
117,Allen Robinson,CHI,WR,13,0,0,0,9,0,55,754,4,1,7.6,98.3,2018
118,Nyheim Hines,IND,RB,16,0,0,0,314,2,63,425,2,0,6.1,97.9,2018
119,Curtis Samuel,CAR,WR,13,0,0,0,84,2,39,494,5,1,7.5,97.8,2018
120,Demaryius Thomas,HOU,WR,15,0,0,0,0,0,59,677,5,0,6.5,97.7,2018
120,Josh Gordon,NE,WR,12,0,0,0,0,0,41,737,4,0,8.1,97.7,2018
122,Kenny Stills,MIA,WR,15,3,1,0,0,0,37,553,6,0,6.5,97.42,2018
123,Tyrell Williams,LAC,WR,16,0,0,0,15,0,41,653,5,0,6.0,96.8,2018
124,Cooper Kupp,LAR,WR,8,0,0,0,25,0,40,566,6,0,11.9,95.1,2018
125,Courtland Sutton,DEN,WR,16,0,0,0,-1,0,42,704,4,0,5.9,94.3,2018
126,Jordy Nelson,OAK,WR,15,0,0,0,-2,0,63,739,3,0,6.2,93.7,2018
127,Alex Collins,BAL,RB,10,0,0,0,411,7,15,105,1,3,9.4,93.6,2018
128,LeSean McCoy,BUF,RB,14,0,0,0,514,3,34,238,0,0,6.7,93.2,2018
129,Trey Burton,CHI,TE,16,0,0,0,2,0,54,569,6,1,5.8,93.1,2018
130,Austin Hooper,ATL,TE,16,0,0,0,0,0,71,660,4,0,5.8,92.0,2018
131,Doug Baldwin,SEA,WR,13,0,0,0,0,0,50,618,5,0,7.1,91.8,2018
132,Frank Gore,MIA,RB,14,0,0,0,722,0,12,124,1,0,6.5,90.6,2018
133,Wendell Smallwood,PHI,RB,16,0,0,0,364,3,28,230,2,1,5.6,89.4,2018
134,Antonio Callaway,CLE,WR,16,0,0,0,7,0,43,586,5,1,5.6,89.3,2018
135,Jalen Richard,OAK,RB,16,0,0,0,259,1,68,607,0,2,5.5,88.6,2018
136,Carlos Hyde,JAX,RB,14,0,0,0,571,5,10,33,0,1,6.3,88.4,2018
137,David Njoku,CLE,TE,16,0,0,0,0,0,56,639,4,0,5.5,87.9,2018
138,Gus Edwards,BAL,RB,11,0,0,0,718,2,2,20,0,0,8.0,87.8,2018
139,Kyle Rudolph,MIN,TE,16,0,0,0,0,0,64,634,4,0,5.5,87.4,2018
139,Jamaal Williams,GB,RB,16,0,0,0,464,3,27,210,0,0,5.5,87.4,2018
141,Royce Freeman,DEN,RB,14,0,0,0,521,5,14,72,0,1,6.2,87.3,2018
142,Anthony Miller,CHI,WR,15,8,0,0,26,0,33,423,7,0,5.8,87.22,2018
143,OJ Howard,TB,TE,10,0,0,0,0,0,34,565,5,0,8.6,86.5,2018
144,Cole Beasley,DAL,WR,16,0,0,0,0,0,65,672,3,0,5.3,85.2,2018
145,Jeff Driskel,CIN,QB,9,1003,6,2,130,2,0,0,0,1,9.5,85.12,2018
146,Duke Johnson,CLE,RB,16,0,0,0,201,0,47,429,3,0,5.3,85.0,2018
147,Taylor Gabriel,CHI,WR,16,0,0,0,61,0,67,688,2,1,5.3,84.9,2018
148,Rob Gronkowski,NE,TE,13,0,0,0,0,0,47,682,3,1,6.5,84.2,2018
149,Vance McDonald,PIT,TE,15,0,0,0,0,0,50,610,4,1,5.5,83.0,2018
150,Donte Moncrief,JAX,WR,16,0,0,0,0,0,48,668,3,1,5.2,82.8,2018
151,Evan Engram,NYG,TE,11,0,0,0,36,0,45,577,3,0,7.4,81.3,2018
152,Marvin Jones,DET,WR,9,0,0,0,0,0,35,508,5,0,9.0,80.8,2018
153,Christian Kirk,ARI,WR,12,0,0,0,35,0,43,590,3,0,6.7,80.5,2018
154,Rashard Higgins,CLE,WR,13,0,0,0,0,0,39,572,4,1,6.1,79.2,2018
155,Devin Funchess,CAR,WR,14,0,0,0,0,0,44,549,4,0,5.6,78.9,2018
156,Michael Crabtree,BAL,WR,16,0,0,0,0,0,54,607,3,0,4.9,78.7,2018
157,Alfred Blue,HOU,RB,16,0,0,0,499,2,20,154,0,0,4.8,77.3,2018
158,LeGarrette Blount,DET,RB,16,0,0,0,418,5,10,67,0,1,4.8,76.5,2018
158,Dante Pettis,SF,WR,12,0,0,0,-2,0,27,467,5,0,6.4,76.5,2018
160,Nick Foles,PHI,QB,5,1413,7,4,17,0,1,15,0,2,15.1,75.72,2018
161,Jimmy Graham,GB,TE,16,0,0,0,0,0,55,636,2,0,4.7,75.6,2018
161,Damien Williams,KC,RB,14,0,0,0,256,4,23,160,2,1,5.4,75.6,2018
163,Sammy Watkins,KC,WR,10,0,0,0,52,0,40,519,3,0,7.5,75.1,2018
164,David Moore,SEA,WR,16,0,0,0,5,0,26,445,5,0,4.7,75.0,2018
165,CJ Beathard,SF,QB,6,1252,8,7,69,1,0,0,0,3,12.5,74.98,2018
166,Josh Adams,PHI,RB,13,0,0,0,511,3,7,58,0,1,5.8,74.9,2018
167,Will Fuller,HOU,WR,7,0,0,0,0,0,32,503,4,0,10.6,74.3,2018
168,Chris Herndon IV,NYJ,TE,14,0,0,0,0,0,39,502,4,0,5.3,74.2,2018
169,Mark Andrews,BAL,TE,16,0,0,0,0,0,34,552,3,0,4.6,73.2,2018
170,Marquez Valdes-Scantling,GB,WR,16,0,0,0,29,0,38,581,2,0,4.6,73.0,2018
171,Kendrick Bourne,SF,WR,16,0,0,0,0,0,42,487,4,0,4.5,72.7,2018
171,Tre'Quan Smith,NO,WR,15,0,0,0,0,0,28,427,5,0,4.8,72.7,2018
173,Willie Snead,BAL,WR,16,0,0,0,13,0,62,651,1,0,4.5,72.4,2018
174,Robert Foster,BUF,WR,13,0,0,0,0,0,27,541,3,0,5.5,72.1,2018
175,Chris Hogan,NE,WR,16,0,0,0,0,0,35,532,3,0,4.4,71.2,2018
