Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
27.0,Mike Evans,TB,WR,15.0,148.0,74.0,50.0,1206.0,3.0,68.0,8.1,16.3,0.0,0.0,0.0,0.0,1.0,1.0,9.1,136.6,2015.0,Receiving
28.0,Randall Cobb,GB,WR,16.0,129.0,79.0,61.2,829.0,6.0,53.0,6.4,10.5,13.0,50.0,3.8,1.0,1.0,0.0,8.1,129.9,2015.0,Receiving
29.0,Rueben Randle,NYG,WR,16.0,90.0,57.0,63.3,797.0,8.0,72.0,8.9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,127.7,2015.0,Receiving
30.0,Travis Benjamin,CLE,WR,16.0,125.0,68.0,54.4,966.0,5.0,61.0,7.7,14.2,4.0,12.0,3.0,0.0,3.0,2.0,7.7,123.8,2015.0,Receiving
31.0,Kamar Aiken,BAL,WR,16.0,127.0,75.0,59.1,944.0,5.0,48.0,7.4,12.6,0.0,0.0,0.0,0.0,1.0,1.0,7.6,122.4,2015.0,Receiving
32.0,Michael Floyd,ARI,WR,15.0,89.0,52.0,58.4,849.0,6.0,60.0,9.5,16.3,0.0,0.0,0.0,0.0,0.0,0.0,8.1,120.9,2015.0,Receiving
33.0,Martavis Bryant,PIT,WR,11.0,92.0,50.0,54.3,765.0,6.0,88.0,8.3,15.3,5.0,37.0,7.4,1.0,1.0,1.0,10.9,120.2,2015.0,Receiving
34.0,Golden Tate,DET,WR,16.0,128.0,90.0,70.3,813.0,6.0,43.0,6.4,9.0,6.0,41.0,6.8,0.0,1.0,1.0,7.5,119.4,2015.0,Receiving
35.0,Willie Snead,NO,WR,15.0,101.0,69.0,68.3,984.0,3.0,63.0,9.7,14.3,0.0,0.0,0.0,0.0,2.0,1.0,7.6,114.4,2015.0,Receiving
36.0,Pierre Garcon,WAS,WR,16.0,111.0,72.0,64.9,777.0,6.0,39.0,7.0,10.8,0.0,0.0,0.0,0.0,1.0,0.0,7.1,113.7,2015.0,Receiving
37.0,Julian Edelman,NE,WR,9.0,88.0,61.0,69.3,692.0,7.0,59.0,7.9,11.3,3.0,23.0,7.7,0.0,1.0,1.0,12.4,111.5,2015.0,Receiving
38.0,Donte Moncrief,IND,WR,16.0,105.0,64.0,61.0,733.0,6.0,33.0,7.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,6.8,109.3,2015.0,Receiving
39.0,Marvin Jones,CIN,WR,16.0,103.0,65.0,63.1,816.0,4.0,47.0,7.9,12.6,5.0,33.0,6.6,0.0,0.0,0.0,6.8,108.9,2015.0,Receiving
40.0,Markus Wheaton,PIT,WR,16.0,79.0,44.0,55.7,749.0,5.0,72.0,9.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,106.9,2015.0,Receiving
41.0,Alshon Jeffery,CHI,WR,9.0,94.0,54.0,57.4,807.0,4.0,50.0,8.6,14.9,0.0,0.0,0.0,0.0,1.0,0.0,11.6,104.7,2015.0,Receiving
42.0,Tyler Lockett,SEA,WR,16.0,69.0,51.0,73.9,664.0,6.0,49.0,9.6,13.0,5.0,20.0,4.0,0.0,3.0,1.0,6.4,102.4,2015.0,Receiving
43.0,Terrance Williams,DAL,WR,16.0,93.0,52.0,55.9,840.0,3.0,42.0,9.0,16.2,0.0,0.0,0.0,0.0,1.0,0.0,6.4,102.0,2015.0,Receiving
44.0,Anquan Boldin,SF,WR,14.0,111.0,69.0,62.2,789.0,4.0,51.0,7.1,11.4,0.0,0.0,0.0,0.0,1.0,1.0,7.2,100.9,2015.0,Receiving
45.0,Jermaine Kearse,SEA,WR,16.0,68.0,49.0,72.1,685.0,5.0,50.0,10.1,14.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2,98.5,2015.0,Receiving
46.0,Stefon Diggs,MIN,WR,13.0,84.0,52.0,61.9,720.0,4.0,40.0,8.6,13.8,3.0,13.0,4.3,0.0,2.0,0.0,7.5,97.3,2015.0,Receiving
47.0,Keenan Allen,LAC,WR,8.0,89.0,67.0,75.3,725.0,4.0,38.0,8.1,10.8,0.0,0.0,0.0,0.0,1.0,1.0,11.8,94.5,2015.0,Receiving
48.0,Torrey Smith,SF,WR,16.0,62.0,33.0,53.2,663.0,4.0,76.0,10.7,20.1,0.0,0.0,0.0,0.0,0.0,0.0,5.8,92.3,2015.0,Receiving
