Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
43,Jadeveon Clowney,HOU,OLB,15,38,9,19.0,9.0,70.5,21,1,0,1,3,1,8.4,126.55,2018
44,Jordan Poyer,BUF,FS,16,73,27,7.5,2.0,15.0,3,6,4,1,1,0,7.9,126.5,2018
45,Lorenzo Alexander,BUF,OLB,16,54,19,13.0,6.5,40.5,11,9,2,1,1,0,7.8,125.55,2018
46,Cameron Jordan,NO,DE,16,36,13,19.0,12.0,67.0,21,6,0,1,1,0,7.8,125.2,2018
47,Todd Davis,DEN,ILB,16,80,34,6.0,0.5,0.0,5,7,1,0,0,1,7.8,125.0,2018
48,Alec Ogletree,NYG,ILB,13,58,35,7.5,1.0,8.0,4,8,5,0,0,2,9.6,124.8,2018
49,Fletcher Cox,PHI,DT,16,33,13,14.0,10.5,71.5,35,1,0,1,1,0,7.7,123.65,2018
50,Danny Trevathan,CHI,ILB,16,76,26,8.0,2.0,6.0,4,6,2,1,1,0,7.7,123.6,2018
51,Harrison Smith,MIN,FS,16,67,17,9.0,3.0,37.0,5,6,3,1,2,0,7.7,123.2,2018
52,Fred Warner,SF,OLB,16,85,39,4.0,0.0,0.0,2,6,0,1,1,0,7.7,122.5,2018
53,Wesley Woodyard,TEN,ILB,14,69,44,6.0,4.5,29.5,7,2,0,0,1,0,8.6,120.95,2018
54,Joe Schobert,CLE,ILB,13,57,46,6.0,3.0,18.0,6,6,1,2,2,0,9.3,120.8,2018
55,Akiem Hicks,CHI,DE,16,41,14,14.5,7.5,65.5,16,5,0,3,0,0,7.5,120.15,2018
56,Malcolm Jenkins,PHI,SS,16,79,18,5.5,1.0,6.0,1,8,1,3,1,0,7.5,120.1,2018
57,Myles Jack,JAX,ILB,16,75,32,2.5,2.5,15.0,4,1,1,1,1,1,7.5,120.0,2018
58,Kareem Jackson,HOU,CB,16,70,17,5.0,1.0,7.0,1,17,2,2,1,0,7.4,119.2,2018
59,Anthony Hitchens,KC,OLB,15,81,54,6.5,0.0,0.0,1,0,0,1,0,0,7.9,118.5,2018
59,Zach Cunningham,HOU,OLB,14,73,34,3.5,0.0,0.0,2,5,1,2,1,1,8.5,118.5,2018
61,Ryan Kerrigan,WAS,OLB,16,30,13,17.0,13.0,90.5,19,1,0,2,1,0,7.3,117.55,2018
62,Kevin Byard,TEN,FS,16,62,28,3.0,2.0,18.0,5,8,4,0,0,0,7.3,116.44,2018
63,Justin Reid,HOU,FS,16,70,18,2.0,0.0,0.0,1,10,3,1,2,1,7.2,116.0,2018
64,Ha'Sean Clinton-Dix,WAS,FS,16,80,12,1.0,1.0,5.0,2,6,3,2,1,0,7.2,115.5,2018
65,Tyrann Mathieu,HOU,FS,16,70,19,5.5,3.0,20.0,4,8,2,0,1,0,7.1,114.0,2018
65,Jessie Bates III,CIN,FS,16,73,38,0.0,0.0,0.0,0,7,3,0,0,1,7.1,114.0,2018
67,Eric Kendricks,MIN,ILB,14,63,45,6.0,1.0,12.0,1,6,2,1,1,0,8.1,113.7,2018
68,Jarran Reed,SEA,DT,16,34,16,12.5,10.5,74.0,24,0,0,0,2,0,7.1,112.9,2018
69,Justin Houston,KC,OLB,12,28,9,13.5,9.0,58.5,15,1,1,5,3,0,9.4,112.85,2018
70,Anthony Walker,IND,ILB,15,69,36,10.5,1.0,6.0,2,4,1,0,1,0,7.5,112.1,2018
71,Benardrick McKinney,HOU,ILB,16,63,42,6.0,1.5,7.5,5,7,1,1,0,0,7.0,111.75,2018
72,Matt Milano,BUF,OLB,13,52,26,13.5,1.0,8.0,3,7,3,0,3,0,8.4,109.3,2018
73,Carlos Dunlap,CIN,DE,16,31,16,12.0,8.0,32.0,22,8,0,2,1,0,6.8,109.2,2018
74,Eddie Jackson,CHI,SS,14,41,10,3.0,1.0,2.0,1,14,6,1,1,3,7.7,108.2,2018
75,Brad McDougald,SEA,SS,16,66,12,4.5,0.0,0.0,0,9,3,3,1,0,6.7,106.5,2018
76,Michael Bennett,PHI,DE,16,25,9,14.5,9.0,70.5,30,1,0,2,0,0,6.6,106.05,2018
77,CJ Mosley,BAL,ILB,15,70,35,7.0,0.5,0.5,2,5,1,0,0,0,7.0,105.55,2018
78,Damon Harrison,DET,DT,17,52,29,12.5,3.5,15.0,8,1,0,2,1,0,6.2,105.5,2018
79,Jurrell Casey,TEN,NT,15,36,26,15.5,7.0,47.5,13,0,0,2,1,0,7.0,105.25,2018
80,Zach Brown,WAS,ILB,16,69,28,10.5,1.0,5.0,2,1,0,2,0,0,6.6,105.0,2018
81,Kenny Moore,IND,CB,15,63,14,5.0,1.5,13.0,2,11,3,1,0,0,7.0,104.3,2018
82,Vince Williams,PIT,ILB,14,50,26,8.0,4.5,30.5,10,2,1,0,0,1,7.4,104.05,2018
83,Damarious Randall,CLE,SS,15,72,12,2.0,0.0,0.0,0,9,4,0,1,0,6.9,104.0,2018
84,Trey Flowers,NE,DE,15,32,25,12.0,7.5,43.0,20,2,0,2,0,0,6.9,103.8,2018
85,Raekwon McMillan,MIA,ILB,16,69,36,6.5,0.0,0.0,0,1,0,2,1,0,6.5,103.5,2018
86,Haason Reddick,ARI,OLB,16,53,27,10.0,4.0,39.0,7,5,0,1,0,0,6.5,103.4,2018
87,Jordan Hicks,PHI,ILB,12,61,30,5.0,3.0,22.0,6,5,0,0,1,0,8.6,103.2,2018
87,Brian Poole,ATL,CB,16,54,21,4.0,3.0,27.0,5,6,3,0,2,0,6.4,103.2,2018
89,Nigel Bradham,PHI,OLB,15,67,30,4.5,2.0,9.0,4,4,0,0,1,0,6.8,102.4,2018
90,Damontae Kazee,ATL,SS,16,59,22,1.0,0.0,0.0,0,10,7,0,0,0,6.4,102.0,2018
91,Donte Jackson,CAR,CB,16,63,10,5.0,1.0,8.0,1,9,4,1,0,0,6.3,100.8,2018
92,Tre Boston,ARI,FS,14,66,13,2.0,0.0,0.0,2,9,3,1,1,0,7.2,100.5,2018
93,Za'Darius Smith,BAL,DE,16,27,18,12.0,8.5,63.0,24,2,0,1,0,0,6.3,100.3,2018
94,Cameron Heyward,PIT,DE,16,29,22,11.0,8.0,57.5,18,3,0,1,1,0,6.2,99.75,2018
95,Adrian Phillips,LAC,SS,16,65,29,3.0,0.0,0.0,1,10,1,1,0,0,6.2,99.5,2018
96,Malcolm Butler,TEN,CB,16,60,9,4.0,1.0,9.0,1,12,3,0,0,1,6.2,99.4,2018
97,Yannick Ngakoue,JAX,DE,16,25,3,12.5,9.5,62.5,33,1,0,0,0,0,6.1,98.25,2018
98,Quandre Diggs,DET,SS,16,64,14,3.0,0.0,0.0,1,8,3,0,0,1,6.1,98.0,2018
99,Prince Amukamara,CHI,CB,15,57,9,3.0,0.0,0.0,0,12,3,2,0,1,6.5,97.5,2018
99,Eli Apple,NO,CB,15,62,13,0.0,0.0,0.0,0,14,2,1,2,0,6.5,97.5,2018
101,Jerome Baker,MIA,OLB,16,57,23,4.0,3.0,28.0,4,3,1,0,0,1,6.1,97.3,2018
102,Jerry Hughes,BUF,DE,16,30,7,16.5,7.0,42.5,19,1,0,3,0,0,6.1,97.25,2018
103,Justin Simmons,DEN,FS,16,71,26,0.0,0.0,0.0,0,4,3,0,0,0,6.1,97.0,2018
103,Marshon Lattimore,NO,CB,16,49,10,1.0,0.0,0.0,0,12,2,5,3,0,6.1,97.0,2018
103,Desmond King,LAC,CB,16,47,14,4.0,0.0,0.0,2,10,3,1,1,1,6.1,97.0,2018
106,Patrick Onwuasor,BAL,OLB,16,37,22,9.5,5.5,44.5,12,3,1,2,0,0,6.1,96.95,2018
107,Landon Collins,NYG,SS,12,67,29,6.0,0.0,0.0,2,4,0,1,0,0,8.0,96.5,2018
108,Kendall Fuller,KC,CB,15,64,18,2.0,0.0,0.0,0,12,2,1,0,0,6.4,96.0,2018
109,Vonn Bell,NO,SS,16,62,26,5.0,1.0,9.0,3,3,0,1,1,0,5.9,94.9,2018
110,Jonathan Allen,WAS,DE,16,34,26,11.5,8.0,61.0,14,0,0,0,0,0,5.9,94.6,2018
111,Reshad Jones,MIA,FS,14,57,14,5.5,0.0,0.0,1,9,3,0,0,1,6.8,94.5,2018
112,Melvin Ingram,LAC,DE,16,28,15,11.5,7.0,54.5,16,3,1,1,1,0,5.9,94.45,2018
113,Preston Smith,WAS,OLB,16,30,22,8.0,4.0,32.5,16,3,1,1,1,1,5.9,94.25,2018
114,Jatavis Brown,LAC,OLB,15,61,36,3.0,1.0,8.0,1,5,0,1,0,0,6.3,93.8,2018
115,Terrell Suggs,BAL,DE,16,25,9,13.0,7.0,51.0,14,6,0,1,1,1,5.8,93.6,2018
116,Travis Carrie,CLE,CB,16,58,16,3.5,1.0,9.0,1,8,1,2,1,0,5.8,93.4,2018
117,Logan Ryan,TEN,CB,14,54,22,4.0,4.0,32.0,5,8,0,0,0,0,6.7,93.2,2018
118,Jabaal Sheard,IND,DE,16,37,13,16.5,5.5,41.5,14,4,0,0,0,0,5.8,93.15,2018
119,Ndamukong Suh,LAR,NT,16,36,23,5.0,4.5,25.5,19,4,0,0,2,0,5.8,93.05,2018
120,Devin McCourty,NE,FS,16,59,23,0.5,0.0,0.0,0,4,1,1,2,1,5.8,93.0,2018
120,TJ McDonald,MIA,FS,14,63,23,1.5,0.0,0.0,0,5,3,0,1,0,6.6,93.0,2018
120,Curtis Riley,NYG,CB,16,63,12,0.0,0.0,0.0,1,5,4,0,0,1,5.8,93.0,2018
123,Grady Jarrett,ATL,DT,14,27,25,12.0,6.0,34.0,17,0,0,3,0,0,6.6,92.9,2018
124,Josh Bynes,ARI,ILB,11,52,23,5.5,2.0,22.0,3,5,0,0,1,1,8.4,92.2,2018
125,Ron Parker,KC,SS,15,64,13,1.0,1.0,6.0,1,5,2,0,0,1,6.1,92.1,2018
126,Pierre Desir,IND,CB,16,60,19,2.5,0.0,0.0,0,8,1,2,1,0,5.8,92.0,2018
126,Kyle Fuller,CHI,CB,16,45,10,0.0,0.0,0.0,0,21,7,0,0,0,5.8,92.0,2018
126,Steven Nelson,KC,CB,16,58,10,2.0,0.0,0.0,0,15,4,0,0,0,5.8,92.0,2018
129,Allen Bailey,KC,DE,16,27,11,7.0,6.0,34.0,10,0,0,3,4,1,5.7,91.9,2018
130,Matt Judon,BAL,OLB,16,29,16,10.5,7.0,41.0,20,3,0,1,0,0,5.7,91.6,2018
131,Geno Atkins,CIN,DT,16,24,21,13.0,10.0,50.5,19,0,0,0,0,0,5.7,91.55,2018
132,Denico Autry,IND,DT,12,28,9,14.0,9.0,58.0,11,1,0,2,1,0,7.6,91.3,2018
132,Kenny Clark,GB,NT,13,36,19,8.5,6.0,43.0,9,3,0,1,2,0,7.0,91.3,2018
134,Janoris Jenkins,NYG,CB,16,59,11,2.0,0.0,0.0,0,15,2,1,0,0,5.7,90.5,2018
135,James Bradberry,CAR,CB,16,58,12,1.5,1.0,9.0,1,15,1,1,0,0,5.6,90.4,2018
136,Jabrill Peppers,CLE,FS,16,52,27,5.0,1.0,11.0,4,5,1,0,2,0,5.6,89.6,2018
137,Bud Dupree,PIT,OLB,16,30,12,10.5,5.5,39.5,13,3,1,1,0,1,5.6,89.45,2018
138,Jeff Heath,DAL,SS,16,63,22,4.0,0.0,0.0,0,5,1,1,0,0,5.6,89.3,2018
139,Tony Jefferson,BAL,SS,14,53,21,6.0,1.0,7.0,2,6,1,1,1,0,6.4,89.2,2018
139,Adrian Amos,CHI,FS,16,59,14,2.0,1.0,2.0,1,9,2,0,1,0,5.6,89.2,2018
141,Larry Ogunjobi,CLE,DT,16,33,19,12.5,5.5,51.5,15,0,0,1,0,0,5.6,89.15,2018
142,Minkah Fitzpatrick,MIA,SS,16,51,29,2.5,0.0,0.0,0,9,2,0,0,1,5.6,89.0,2018
143,Shaq Thompson,CAR,OLB,14,50,29,5.0,3.5,23.0,6,1,0,1,0,0,6.3,88.8,2018
143,Leonard Floyd,CHI,OLB,16,34,15,9.0,4.0,33.0,11,4,1,0,1,1,5.6,88.8,2018
143,Kyler Fackrell,GB,OLB,16,29,13,12.5,10.5,68.0,13,0,0,0,0,0,5.6,88.8,2018
146,De'Vondre Campbell,ATL,OLB,16,62,31,4.0,1.5,11.0,3,0,0,0,0,0,5.5,88.6,2018
147,Jalen Ramsey,JAX,CB,16,62,3,2.0,0.0,0.0,0,13,3,0,0,0,5.5,87.5,2018
148,Adoree` Jackson,TEN,CB,16,67,6,2.5,0.0,0.0,0,10,2,0,0,0,5.4,86.5,2018
149,Sheldon Rankins,NO,DT,16,26,15,11.0,8.0,61.0,15,1,0,1,0,0,5.4,85.6,2018
150,Darron Lee,NYJ,ILB,12,43,31,5.0,0.0,0.0,2,5,3,0,0,1,7.1,85.5,2018
150,Nick Vigil,CIN,OLB,11,62,22,5.5,0.0,0.0,1,3,0,0,1,0,7.8,85.5,2018
152,Jordan Jenkins,NYJ,OLB,16,24,11,9.0,7.0,59.5,15,0,0,2,2,0,5.3,85.45,2018
153,AJ Klein,NO,OLB,16,42,27,8.0,2.0,14.0,4,3,1,0,2,0,5.3,84.9,2018
154,Devon Kennard,DET,OLB,15,30,16,9.0,7.0,67.0,14,0,0,0,1,0,5.6,84.7,2018
155,Stephon Tuitt,PIT,DE,14,27,18,9.0,5.5,45.5,20,4,0,0,0,0,6.0,84.55,2018
156,Clayton Geathers,IND,SS,12,61,28,1.5,0.0,0.0,2,3,0,1,0,0,7.0,84.5,2018
157,Lamarcus Joyner,LAR,FS,15,58,20,3.0,1.0,11.0,1,3,1,0,1,0,5.6,84.1,2018
157,Samson Ebukam,LAR,OLB,16,25,15,7.0,3.0,16.0,6,1,1,3,2,2,5.3,84.1,2018
159,Josh Norman,WAS,CB,16,41,23,1.5,0.0,0.0,0,9,3,3,1,0,5.2,84.0,2018
160,DJ Swearinger,ARI,FS,15,41,10,1.5,1.0,12.0,2,10,4,2,1,0,5.6,83.7,2018
161,Sean Davis,PIT,FS,15,59,21,0.0,0.0,0.0,1,7,1,1,0,0,5.6,83.5,2018
162,Mario Addison,CAR,DE,16,20,15,15.0,9.0,49.0,12,0,0,2,0,0,5.2,83.4,2018
162,Terrell Edmunds,PIT,SS,16,55,23,1.0,1.0,9.0,3,4,1,0,1,0,5.2,83.4,2018
164,Robert Quinn,MIA,DE,16,25,13,11.0,6.5,48.0,16,0,0,2,0,0,5.1,82.3,2018
164,Jaire Alexander,GB,CB,13,61,5,2.5,0.5,3.0,1,11,1,0,0,0,6.3,82.3,2018
164,Da'ron Payne,WAS,NT,16,35,21,7.0,5.0,28.0,8,3,0,1,1,0,5.1,82.3,2018
167,Stephon Gilmore,NE,CB,16,40,5,1.0,1.0,7.0,1,20,2,2,1,0,5.1,82.2,2018
168,Carl Nassib,TB,DE,15,22,7,15.0,6.5,46.0,16,2,0,2,0,0,5.5,82.1,2018
168,Mike Hilton,PIT,CB,15,44,13,7.0,1.0,6.0,5,8,1,0,2,0,5.5,82.1,2018
170,Patrick Chung,NE,SS,15,52,32,1.5,0.5,5.0,2,3,1,0,1,0,5.5,82.0,2018
171,Thomas Davis,CAR,OLB,12,46,33,5.0,0.0,0.0,2,6,0,0,2,0,6.8,81.5,2018
171,PJ Williams,NO,CB,15,44,9,4.0,1.0,10.0,2,9,1,2,0,1,5.4,81.5,2018
173,Sam Hubbard,CIN,DE,16,27,12,9.5,6.0,39.5,9,2,0,1,1,1,5.1,81.45,2018
174,Chidobe Awuzie,DAL,CB,15,57,14,0.0,0.0,0.0,0,11,1,1,0,0,5.4,81.0,2018
174,Denzel Ward,CLE,CB,13,41,12,5.0,0.0,0.0,0,11,3,1,2,0,6.2,81.0,2018
176,Leonard Williams,NYJ,DE,16,26,16,10.5,5.0,43.5,20,2,0,0,0,0,5.1,80.85,2018
177,Jon Bostic,PIT,ILB,16,46,27,7.5,2.5,18.0,4,3,0,0,0,0,5.0,80.8,2018
178,Olivier Vernon,NYG,DE,11,23,7,7.0,7.0,42.5,22,1,0,1,1,0,7.3,80.75,2018
179,Mike Adams,CAR,FS,16,47,28,3.5,0.0,0.0,1,6,3,0,0,0,5.0,80.5,2018
179,Johnathan Joseph,HOU,CB,14,49,9,2.0,0.0,0.0,0,13,2,0,0,1,5.8,80.5,2018
179,Joe Haden,PIT,CB,15,51,12,2.5,0.0,0.0,0,12,2,1,0,0,5.4,80.5,2018
179,Benson Mayowa,ARI,DE,15,32,6,13.0,4.0,35.0,11,4,0,1,1,0,5.4,80.5,2018
183,Tre Flowers,SEA,CB,15,55,12,0.0,0.0,0.0,0,7,0,3,1,0,5.3,80.0,2018
184,Romeo Okwara,DET,DE,15,28,11,9.5,7.5,38.0,14,1,0,1,0,0,5.3,79.8,2018
185,Jason McCourty,NE,CB,16,54,16,1.5,0.0,0.0,0,10,1,1,0,0,5.0,79.5,2018
185,Alex Anzalone,NO,ILB,16,45,15,5.0,2.0,10.0,6,2,1,2,0,0,5.0,79.5,2018
187,Justin Coleman,SEA,CB,16,41,14,0.5,0.5,5.5,1,10,1,1,2,1,4.9,79.05,2018
188,Morris Claiborne,NYJ,CB,15,44,13,2.5,0.0,0.0,0,14,2,0,0,1,5.3,79.0,2018
189,Eric Reid,CAR,SS,13,50,21,4.0,1.0,0.0,1,5,1,1,0,0,6.0,78.5,2018
189,Foyesade Oluokun,ATL,OLB,16,56,35,2.0,0.0,0.0,2,1,0,0,0,0,4.9,78.5,2018
191,Rodney Gunter,ARI,DT,16,30,14,12.0,4.5,32.0,10,1,0,2,0,0,4.9,78.2,2018
192,Jonathan Jones,NE,DB,16,44,12,2.0,1.5,11.0,3,7,3,1,0,0,4.9,78.1,2018
193,Byron Jones,DAL,CB,16,56,11,2.5,0.0,0.0,0,14,0,0,0,0,4.9,78.0,2018
194,Desmond Trufant,ATL,CB,16,55,11,1.0,1.0,11.0,1,12,0,0,0,0,4.8,77.6,2018
195,Henry Anderson,NYJ,DE,16,22,13,9.0,7.0,59.5,16,4,0,0,0,0,4.8,77.45,2018
196,Jordan Whitehead,TB,FS,15,61,15,4.0,0.0,0.0,0,4,0,0,0,0,5.1,76.5,2018
197,Genard Avery,CLE,OLB,16,29,10,6.5,4.5,26.5,14,4,0,1,1,0,4.8,76.15,2018
198,Jahleel Addae,LAC,FS,16,52,23,1.0,1.0,13.0,1,3,1,0,1,0,4.7,75.8,2018
199,Brandon Graham,PHI,DE,16,31,8,11.5,4.0,22.0,11,2,0,1,1,0,4.7,75.7,2018
200,Shaquill Griffin,SEA,CB,16,54,8,3.5,0.0,0.0,0,8,2,0,0,0,4.7,75.5,2018
201,Christian Jones,DET,OLB,16,49,20,3.5,1.0,9.0,4,3,0,1,0,0,4.7,75.4,2018
202,Glover Quin,DET,FS,16,58,16,1.5,1.0,6.0,2,3,0,0,0,0,4.7,75.1,2018
203,Reggie Ragland,KC,ILB,16,46,40,3.0,0.5,0.0,1,1,1,0,0,0,4.7,75.0,2018
203,BJ Goodson,NYG,ILB,15,44,17,5.5,0.5,0.0,3,4,2,0,1,0,5.0,75.0,2018
205,Buster Skrine,NYJ,DB,14,52,6,4.5,0.5,4.5,1,7,0,1,1,0,5.4,74.95,2018
206,BW Webb,NYG,CB,16,52,7,2.0,1.0,12.0,2,6,1,1,0,0,4.7,74.7,2018
207,Chris Harris,DEN,CB,12,40,9,1.0,1.0,9.0,1,10,3,0,0,1,6.2,74.4,2018
208,Marcus Williams,NO,FS,16,49,10,1.5,1.0,6.0,1,3,2,1,1,0,4.6,74.1,2018
209,Tavon Young,BAL,CB,15,35,2,5.0,2.0,7.0,2,5,1,0,2,2,4.9,73.7,2018
210,Darius Slay,DET,CB,15,40,3,1.0,0.0,0.0,0,16,3,0,0,1,4.9,73.5,2018
211,Bobby McCain,MIA,CB,14,50,11,2.5,2.0,14.0,2,5,1,0,0,0,5.2,73.4,2018
212,Kyle Williams,BUF,DT,16,21,13,9.0,5.0,38.5,15,1,0,1,1,0,4.6,73.25,2018
213,Sheldon Richardson,MIN,DT,16,26,23,7.5,4.5,31.5,16,0,0,0,0,0,4.6,73.15,2018
214,Eric Weddle,BAL,FS,16,54,14,2.0,1.0,9.0,4,3,0,0,0,0,4.6,72.9,2018
215,Javon Hargrave,PIT,NT,16,32,17,7.5,6.5,27.5,8,1,0,0,0,0,4.5,72.75,2018
216,Cameron Wake,MIA,OLB,14,21,15,6.5,6.0,44.0,17,1,0,1,0,0,5.2,72.4,2018
216,Elijah Lee,SF,ILB,16,54,11,3.0,1.0,9.0,2,2,0,1,0,0,4.5,72.4,2018
218,Anthony Barr,MIN,OLB,13,39,16,8.0,3.0,22.0,4,2,0,1,0,0,5.6,72.2,2018
219,Mackensie Alexander,MIN,CB,15,36,7,7.0,4.0,25.0,5,10,0,0,0,0,4.8,72.0,2018
219,Rasul Douglas,PHI,CB,16,48,10,6.0,0.0,0.0,0,4,3,0,0,0,4.5,72.0,2018
221,Darqueze Dennard,CIN,CB,13,54,14,1.5,0.0,0.0,0,6,0,0,1,0,5.5,71.5,2018
221,Cassius Marsh,SF,DE,16,27,11,7.5,5.5,35.0,14,0,0,0,1,0,4.5,71.5,2018
221,Harold Landry,TEN,OLB,15,24,20,7.5,4.5,30.0,13,2,0,1,0,0,4.8,71.5,2018
224,Ronald Blair,SF,DE,16,24,12,11.5,5.5,47.0,13,1,0,0,0,0,4.4,71.2,2018
225,B.J. Hill,NYG,DE,16,32,16,7.0,5.5,31.5,8,2,0,0,0,0,4.4,71.15,2018
226,Matt Ioannidis,WAS,DE,14,23,8,7.5,7.5,41.0,11,0,0,1,1,0,5.0,70.6,2018
227,Linval Joseph,MIN,NT,15,35,22,5.0,1.0,15.0,4,0,0,1,1,1,4.7,70.5,2018
228,Darian Stewart,DEN,SS,14,46,14,1.0,1.0,4.5,2,3,2,0,1,0,5.0,70.45,2018
229,Clay Matthews,GB,ILB,16,29,14,6.5,3.5,28.5,12,0,0,2,0,0,4.4,70.35,2018
230,Bryce Callahan,CHI,CB,13,39,6,6.0,2.0,12.0,5,6,2,0,0,0,5.4,70.2,2018
231,Bradley Roby,DEN,CB,15,45,5,1.0,0.0,0.0,0,12,1,2,0,0,4.6,69.5,2018
232,Deion Jones,ATL,ILB,6,34,19,1.0,1.0,4.0,1,6,2,1,0,1,11.5,68.9,2018
233,Chris Long,PHI,DE,16,15,8,5.5,6.5,51.0,20,0,0,2,0,0,4.3,68.6,2018
233,Whitney Mercilus,HOU,OLB,16,22,17,7.5,4.0,26.0,14,0,0,2,0,0,4.3,68.6,2018
