Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
71.0,Ty Montgomery,BAL,RB,13.0,41.0,188.0,4.6,1.0,40.0,25.0,235.0,0.0,2.0,1.0,3.6,46.3,2018.0,Rushing
72.0,Justin Jackson,LAC,RB,9.0,50.0,206.0,4.1,2.0,19.0,15.0,135.0,0.0,0.0,0.0,5.1,46.1,2018.0,Rushing
73.0,Darren Sproles,PHI,RB,6.0,29.0,120.0,4.1,1.0,23.0,15.0,160.0,2.0,0.0,0.0,7.7,46.0,2018.0,Rushing
74.0,Kapri Bibbs,GB,RB,12.0,21.0,103.0,4.9,3.0,23.0,16.0,115.0,1.0,1.0,0.0,3.8,45.8,2018.0,Rushing
75.0,Jacquizz Rodgers,TB,RB,16.0,33.0,106.0,3.2,1.0,45.0,38.0,304.0,0.0,1.0,1.0,2.8,45.0,2018.0,Rushing
76.0,Jordan Wilkins,IND,RB,16.0,60.0,336.0,5.6,1.0,17.0,16.0,85.0,0.0,2.0,2.0,2.8,44.1,2018.0,Rushing
77.0,Chase Edmonds,ARI,RB,16.0,60.0,208.0,3.5,2.0,23.0,20.0,103.0,0.0,1.0,0.0,2.7,43.1,2018.0,Rushing
78.0,Jay Ajayi,PHI,RB,4.0,45.0,184.0,4.1,3.0,6.0,5.0,20.0,0.0,1.0,1.0,9.6,38.4,2018.0,Rushing
79.0,Kyle Juszczyk,SF,FB,16.0,8.0,30.0,3.8,0.0,40.0,30.0,324.0,1.0,2.0,2.0,2.3,37.4,2018.0,Rushing
80.0,Rex Burkhead,NE,RB,8.0,57.0,186.0,3.3,0.0,20.0,14.0,131.0,1.0,2.0,1.0,4.5,35.7,2018.0,Rushing
81.0,Malcolm Brown,LAR,RB,12.0,43.0,212.0,4.9,0.0,7.0,5.0,52.0,1.0,0.0,0.0,2.9,34.4,2018.0,Rushing
82.0,Raheem Mostert,SF,RB,9.0,34.0,261.0,7.7,1.0,7.0,6.0,25.0,0.0,1.0,1.0,3.6,32.6,2018.0,Rushing
83.0,Jeffery Wilson,SF,RB,6.0,66.0,266.0,4.0,0.0,15.0,12.0,98.0,0.0,3.0,2.0,5.4,32.4,2018.0,Rushing
84.0,Trenton Cannon,NYJ,RB,16.0,38.0,113.0,3.0,1.0,25.0,17.0,144.0,0.0,0.0,0.0,2.0,31.7,2018.0,Rushing
85.0,James Develin,NE,RB,16.0,6.0,8.0,1.3,4.0,18.0,12.0,61.0,0.0,0.0,0.0,1.9,30.9,2018.0,Rushing
86.0,Wayne Gallman,NYG,RB,15.0,51.0,176.0,3.5,1.0,22.0,14.0,89.0,0.0,2.0,1.0,2.0,30.5,2018.0,Rushing
87.0,Kalen Ballage,MIA,RB,12.0,36.0,191.0,5.3,1.0,11.0,9.0,56.0,0.0,1.0,1.0,2.4,28.7,2018.0,Rushing
88.0,Marcus Murphy,BUF,RB,11.0,52.0,250.0,4.8,0.0,19.0,11.0,26.0,0.0,1.0,0.0,2.5,27.6,2018.0,Rushing
89.0,Brandon Bolden,MIA,RB,16.0,8.0,91.0,11.4,2.0,3.0,3.0,13.0,1.0,1.0,1.0,1.6,26.4,2018.0,Rushing
90.0,Rod Smith,DAL,RB,16.0,44.0,127.0,2.9,1.0,12.0,9.0,60.0,0.0,0.0,0.0,1.5,24.7,2018.0,Rushing
91.0,Andy Janovich,DEN,FB,16.0,2.0,5.0,2.5,0.0,10.0,8.0,112.0,1.0,0.0,0.0,1.1,17.7,2018.0,Rushing
92.0,Zach Line,NO,FB,16.0,9.0,41.0,4.6,0.0,10.0,5.0,14.0,2.0,0.0,0.0,1.1,17.5,2018.0,Rushing
93.0,Anthony Sherman,KC,FB,16.0,1.0,2.0,2.0,0.0,9.0,8.0,96.0,1.0,0.0,0.0,1.0,15.8,2018.0,Rushing
94.0,Dwayne Washington,NO,RB,6.0,27.0,154.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,15.4,2018.0,Rushing
94.0,Taquan Mizzell,CHI,RB,9.0,9.0,16.0,1.8,0.0,10.0,8.0,78.0,1.0,0.0,0.0,1.7,15.4,2018.0,Rushing
96.0,Brian Hill,ATL,RB,9.0,20.0,157.0,7.8,0.0,2.0,1.0,9.0,0.0,1.0,1.0,1.6,14.6,2018.0,Rushing
97.0,Cameron Artis-Payne,CAR,RB,9.0,19.0,69.0,3.6,1.0,4.0,3.0,15.0,0.0,0.0,0.0,1.6,14.4,2018.0,Rushing
98.0,Alex Armah,CAR,RB,16.0,9.0,15.0,1.7,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.9,14.0,2018.0,Rushing
99.0,Ronald Jones II,TB,RB,9.0,23.0,44.0,1.9,1.0,9.0,7.0,33.0,0.0,0.0,0.0,1.5,13.7,2018.0,Rushing
100.0,Darrel Williams,KC,RB,4.0,13.0,44.0,3.4,0.0,3.0,3.0,27.0,1.0,0.0,0.0,3.3,13.1,2018.0,Rushing
101.0,Stevan Ridley,PIT,RB,10.0,29.0,80.0,2.8,1.0,4.0,3.0,18.0,0.0,2.0,2.0,1.2,11.8,2018.0,Rushing
102.0,Corey Grant,JAX,RB,5.0,13.0,40.0,3.1,0.0,12.0,9.0,67.0,0.0,0.0,0.0,2.1,10.7,2018.0,Rushing
