Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
24,Matt Breida,SF,RB,14,153,814,5.3,3,31,27,261,2,1,1,9.7,135.5
25,Sony Michel,NE,RB,13,209,931,4.5,6,11,7,50,0,1,1,10.2,132.1
26,Peyton Barber,TB,RB,16,234,871,3.7,5,29,20,92,1,1,1,8.1,130.3
27,Austin Ekeler,LAC,RB,14,106,554,5.2,3,53,39,404,3,1,1,9.3,129.8
28,Mark Ingram,NO,RB,12,138,645,4.7,6,27,21,170,1,3,1,10.1,121.5
29,Isaiah Crowell,NYJ,RB,13,143,685,4.8,6,28,21,152,0,0,0,9.2,119.7
30,TJ Yeldon,JAX,RB,14,104,414,4,1,77,55,487,4,1,1,8.4,118.1
31,Dalvin Cook,MIN,RB,11,133,615,4.6,2,49,40,305,2,2,2,10.2,112
32,Latavius Murray,MIN,RB,16,140,578,4.1,6,26,22,141,0,0,0,6.9,109.9
33,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,10.7,107.4
34,Mike Davis,SEA,RB,15,112,514,4.6,4,42,34,214,1,0,0,6.9,102.8
35,Doug Martin,OAK,RB,16,172,723,4.2,4,24,18,116,0,3,3,6.4,101.9
36,Dion Lewis,TEN,RB,16,155,517,3.3,1,67,59,400,1,1,1,6.4,101.7
37,Leonard Fournette,JAX,RB,8,133,439,3.3,5,26,22,185,1,0,0,12.3,98.4
38,Nyheim Hines,IND,RB,16,85,314,3.7,2,81,63,425,2,1,0,6.1,97.9
39,Alex Collins,BAL,RB,10,114,411,3.6,7,21,15,105,1,3,3,9.4,93.6
40,LeSean McCoy,BUF,RB,14,161,514,3.2,3,46,34,238,0,0,0,6.7,93.2
41,Frank Gore,MIA,RB,14,156,722,4.6,0,16,12,124,1,1,0,6.5,90.6
42,Wendell Smallwood,PHI,RB,16,87,364,4.2,3,35,28,230,2,2,1,5.6,89.4
43,Jalen Richard,OAK,RB,16,55,259,4.7,1,81,68,607,0,3,2,5.5,88.6
44,Carlos Hyde,JAX,RB,14,172,571,3.3,5,17,10,33,0,2,1,6.3,88.4
45,Gus Edwards,BAL,RB,11,137,718,5.2,2,2,2,20,0,0,0,8,87.8
46,Jamaal Williams,GB,RB,16,121,464,3.8,3,41,27,210,0,0,0,5.5,87.4
47,Royce Freeman,DEN,RB,14,130,521,4,5,20,14,72,0,1,1,6.2,87.3
48,Duke Johnson,CLE,RB,16,40,201,5,0,62,47,429,3,1,0,5.3,85
49,Alfred Blue,HOU,RB,16,150,499,3.3,2,27,20,154,0,0,0,4.8,77.3
50,LeGarrette Blount,DET,RB,16,154,418,2.7,5,15,10,67,0,2,1,4.8,76.5
51,Damien Williams,KC,RB,14,50,256,5.1,4,24,23,160,2,1,1,5.4,75.6
52,Josh Adams,PHI,RB,13,120,511,4.3,3,13,7,58,0,1,1,5.8,74.9
53,Ito Smith,ATL,RB,14,90,315,3.5,4,32,27,152,0,1,0,5,70.7
54,Elijah McGuire,NYJ,RB,8,92,276,3,3,31,19,193,1,2,2,8.4,66.9
55,Chris Ivory,BUF,RB,13,115,385,3.3,1,21,13,205,0,1,0,5,65
56,Marshawn Lynch,OAK,RB,6,90,376,4.2,3,20,15,84,0,0,0,10.7,64
57,Jaylen Samuels,PIT,FB,14,56,256,4.6,0,29,26,199,3,1,0,4.5,63.5
58,CJ Anderson,LAR,RB,11,67,403,6,2,9,5,41,1,0,0,5.7,62.4
59,Rashaad Penny,SEA,RB,14,85,419,4.9,2,12,9,75,0,0,0,4.4,61.4
60,Giovani Bernard,CIN,RB,12,56,211,3.8,3,48,35,218,0,0,0,5.1,60.9
61,Alfred Morris,SF,RB,12,111,428,3.9,2,14,8,73,0,2,1,5,60.1
62,Corey Clement,PHI,RB,11,68,259,3.8,2,25,22,192,0,4,0,5.4,59.1
63,Spencer Ware,KC,RB,13,51,246,4.8,2,23,20,224,0,0,0,4.5,59
64,Javorius Allen,BAL,RB,14,41,110,2.7,3,43,35,196,2,1,1,4.2,58.6
65,Theo Riddick,DET,RB,14,40,171,4.3,0,74,61,384,0,0,0,4,55.5
66,Chris Thompson,WAS,RB,10,43,178,4.1,0,55,41,268,1,1,0,5.1,50.6
67,Zach Zenner,DET,RB,8,55,265,4.8,3,10,7,56,0,0,0,6.3,50.1
68,Devontae Booker,DEN,RB,16,34,183,5.4,1,51,38,275,0,1,1,3.1,49.8
69,Bilal Powell,NYJ,RB,7,80,343,4.3,0,18,11,110,1,2,1,7,49.3
70,Kenneth Dixon,BAL,RB,6,60,333,5.6,2,7,6,51,0,2,1,8.1,48.4
71,Ty Montgomery,BAL,RB,13,41,188,4.6,1,40,25,235,0,2,1,3.6,46.3
72,Justin Jackson,LAC,RB,9,50,206,4.1,2,19,15,135,0,0,0,5.1,46.1
73,Darren Sproles,PHI,RB,6,29,120,4.1,1,23,15,160,2,0,0,7.7,46
74,Kapri Bibbs,GB,RB,12,21,103,4.9,3,23,16,115,1,1,0,3.8,45.8
75,Jacquizz Rodgers,TB,RB,16,33,106,3.2,1,45,38,304,0,1,1,2.8,45
76,Jordan Wilkins,IND,RB,16,60,336,5.6,1,17,16,85,0,2,2,2.8,44.1
77,Chase Edmonds,ARI,RB,16,60,208,3.5,2,23,20,103,0,1,0,2.7,43.1
78,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,9.6,38.4
79,Kyle Juszczyk,SF,FB,16,8,30,3.8,0,40,30,324,1,2,2,2.3,37.4
80,Rex Burkhead,NE,RB,8,57,186,3.3,0,20,14,131,1,2,1,4.5,35.7
81,Malcolm Brown,LAR,RB,12,43,212,4.9,0,7,5,52,1,0,0,2.9,34.4
82,Raheem Mostert,SF,RB,9,34,261,7.7,1,7,6,25,0,1,1,3.6,32.6
83,Jeffery Wilson,SF,RB,6,66,266,4,0,15,12,98,0,3,2,5.4,32.4
84,Trenton Cannon,NYJ,RB,16,38,113,3,1,25,17,144,0,0,0,2,31.7
85,James Develin,NE,RB,16,6,8,1.3,4,18,12,61,0,0,0,1.9,30.9
86,Wayne Gallman,NYG,RB,15,51,176,3.5,1,22,14,89,0,2,1,2,30.5
87,Kalen Ballage,MIA,RB,12,36,191,5.3,1,11,9,56,0,1,1,2.4,28.7
88,Marcus Murphy,BUF,RB,11,52,250,4.8,0,19,11,26,0,1,0,2.5,27.6
89,Brandon Bolden,MIA,RB,16,8,91,11.4,2,3,3,13,1,1,1,1.6,26.4
90,Rod Smith,DAL,RB,16,44,127,2.9,1,12,9,60,0,0,0,1.5,24.7
91,Andy Janovich,DEN,FB,16,2,5,2.5,0,10,8,112,1,0,0,1.1,17.7
92,Zach Line,NO,FB,16,9,41,4.6,0,10,5,14,2,0,0,1.1,17.5
93,Anthony Sherman,KC,FB,16,1,2,2,0,9,8,96,1,0,0,1,15.8
94,Dwayne Washington,NO,RB,6,27,154,5.7,0,0,0,0,0,0,0,2.6,15.4
94,Taquan Mizzell,CHI,RB,9,9,16,1.8,0,10,8,78,1,0,0,1.7,15.4
96,Brian Hill,ATL,RB,9,20,157,7.8,0,2,1,9,0,1,1,1.6,14.6
97,Cameron Artis-Payne,CAR,RB,9,19,69,3.6,1,4,3,15,0,0,0,1.6,14.4
98,Alex Armah,CAR,RB,16,9,15,1.7,2,1,1,5,0,0,0,0.9,14
99,Ronald Jones II,TB,RB,9,23,44,1.9,1,9,7,33,0,0,0,1.5,13.7
