Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
185,Nickell Robey,BUF,CB,16,30,9,8,3,23,6,10,1,1,1,1,5.1,81.8
186,Darryl Sharpton,HOU,ILB,15,55,31,2,0,0,4,2,0,1,0,0,5.4,81.5
186,Matt Elam,BAL,SS,16,53,23,5,0,0,0,3,1,0,2,0,5.1,81.5
188,Vincent Rey,CIN,OLB,16,30,17,5,4,28,4,5,2,1,1,1,5.1,81.3
189,Dashon Goldson,TB,FS,13,52,18,1,0,0,0,8,1,1,1,0,6.2,81.2
190,Brandon Spikes,NE,ILB,16,48,38,6,0,0,0,2,1,0,1,0,5.1,81
191,Elvis Dumervil,BAL,DE,15,17,13,8,9.5,64,15,3,0,2,0,0,5.4,80.9
192,Whitney Mercilus,HOU,OLB,16,33,14,6,7,36,17,0,0,0,0,0,5,80.6
193,Terrell Thomas,NYG,CB,16,58,9,1,1,10,0,8,1,1,0,0,5,80.5
193,Marcus Cooper,KC,CB,16,38,3,0,0,0,0,20,3,1,1,1,5,80.5
195,Sen'Derrick Marks,JAX,DE,16,28,5,6,4,34,9,8,0,2,3,0,5,79.9
196,Brandian Ross,OAK,FS,16,54,19,1,2,10,4,3,0,1,0,0,5,79.5
197,Robert McClain,ATL,CB,16,53,10,2,1,4,3,5,0,2,1,0,5,79.4
197,Von Miller,DEN,OLB,9,27,7,9,5,29,8,1,0,3,1,1,8.8,79.4
197,KJ Wright,SEA,OLB,13,46,34,4,1.5,4,2,4,0,0,1,0,6.1,79.4
200,Darrelle Revis,TB,CB,16,43,7,3,1,6,1,11,2,2,1,0,4.9,79.1
201,Demarcus Ware,DAL,OLB,13,28,12,9,6,40,12,2,1,0,1,0,6.1,79
202,Terence Newman,CIN,CB,13,45,7,4,0,0,0,14,2,0,0,1,6,78.5
202,LaRon Landry,IND,FS,12,62,25,1,0,0,1,2,0,0,0,0,6.5,78.5
204,Devin McCourty,NE,FS,15,47,20,1,0,0,0,8,1,2,1,0,5.2,78
205,Quinton Coples,NYJ,DE,14,24,14,10,4.5,27,18,3,0,1,0,0,5.5,76.7
206,Jared Odrick,MIA,DE,16,34,9,9,4.5,31,12,2,0,1,0,0,4.8,76.6
207,Jamarca Sanford,MIN,SS,13,55,17,2,0,0,1,1,0,2,1,0,5.9,76.5
208,Cliff Avril,SEA,DE,15,14,6,4,8,44,13,4,0,5,1,0,5.1,76.4
209,Linval Joseph,NYG,NT,15,34,25,8,3,26,7,0,0,1,1,0,5.1,76.1
210,MD Jennings,GB,SS,16,50,18,4,1,4,1,0,0,0,1,1,4.8,76
211,Matt Shaughnessy,ARI,DE,16,31,5,9,3,24,6,1,0,1,3,1,4.7,75.9
212,Corey Liuget,LAC,DT,16,32,10,7,5.5,37,12,2,0,1,0,0,4.7,75.7
