Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
185,Dwayne Harris,DAL,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Jerrel Jernigan,NYG,WR,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Kevin Cone,ATL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Darvin Adams,CAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Kealoha Pilares,CAR,WR,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Joe Hastings,SF,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Trindon Holliday,HOU,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Eron Riley,NYJ,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Kerry Meier,ATL,WR,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Max Komar,CHI,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Terrelle Pryor,OAK,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Brandon Tate,CIN,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-0.1,-2
211,DeMarco Cosby,IND,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.2,-2
213,David Reed,BAL,WR,11,2,0,0,0,0,0,0,0,1,16,16,0,3,2,-0.2,-2.4
