Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
99,Dez Bryant,DAL,WR,PHI,6,20,8.1,WR18,99
99,Chris Boswell,PIT,K,CLE,24,17,8.1,K10,99
99,Demaryius Thomas,DEN,WR,KC,22,31,8.1,WR19,99
99,Baltimore Ravens,BAL,DST,CIN,null,null,8.1,DST9,99
103,Denver Broncos,DEN,DST,KC,null,null,8,DST10,103
103,Jacksonville Jaguars,JAX,DST,TEN,null,null,8,DST11,103
103,Kansas City Chiefs,KC,DST,DEN,null,null,8,DST12,103
106,Stefon Diggs,MIN,WR,CHI,7,16,7.96,WR20,106
107,Steven Hauschka,BUF,K,MIA,23,21,7.9,K11,107
107,Keelan Cole,JAX,WR,TEN,25,25,7.9,WR21,107
107,Los Angeles Chargers,LAC,DST,OAK,null,null,7.9,DST13,107
110,Golden Tate,DET,WR,GB,27,26,7.79,WR22,110
111,Patrick Murray,TB,K,NO,11,12,7.7,K12,111
111,Buffalo Bills,BUF,DST,MIA,null,null,7.7,DST14,111
111,Dallas Cowboys,DAL,DST,PHI,null,null,7.7,DST15,111
114,Graham Gano,CAR,K,ATL,15,23,7.6,K13,114
114,Ryan Succop,TEN,K,JAX,2,3,7.6,K14,114
114,Brandon McManus,DEN,K,KC,22,6,7.6,K15,114
117,Kerwynn Williams,ARI,RB,SEA,8,10,7.57,RB33,117
118,Kelvin Benjamin,BUF,WR,MIA,23,6,7.51,WR23,118
119,Tennessee Titans,TEN,DST,JAX,null,null,7.5,DST16,119
120,Dustin Hopkins,WAS,K,NYG,32,23,7.4,K16,120
120,Dan Bailey,DAL,K,PHI,6,7,7.4,K17,120
122,Tevin Coleman,ATL,RB,CAR,14,3,7.3,RB34,122
123,Robby Anderson,NYJ,WR,NE,23,28,7.24,WR24,123
124,Dede Westbrook,JAX,WR,TEN,25,25,7.23,WR25,124
125,Harrison Butker,KC,K,DEN,9,17,7.2,K18,125
126,Greg Olsen,CAR,TE,ATL,15,14,7.12,TE2,126
127,Rishard Matthews,TEN,WR,JAX,2,1,7.02,WR26,127
128,Mike Wallace,BAL,WR,CIN,16,3,7,WR27,128
128,Phil Dawson,ARI,K,SEA,8,18,7,K19,128
128,Atlanta Falcons,ATL,DST,CAR,null,null,7,DST17,128
131,Devontae Booker,DEN,RB,KC,22,11,6.99,RB35,131
132,Josh Doctson,WAS,WR,NYG,32,25,6.98,WR28,132
133,Giovani Bernard,CIN,RB,BAL,3,23,6.96,RB36,133
134,Jack Doyle,IND,TE,HOU,31,27,6.95,TE3,134
135,Michael Crabtree,OAK,WR,LAC,4,7,6.93,WR29,135
136,Jimmy Graham,SEA,TE,ARI,12,15,6.91,TE4,136
137,Ka'imi Fairbairn,HOU,K,IND,30,24,6.9,K20,137
137,New Orleans Saints,NO,DST,TB,null,null,6.9,DST18,137
139,Will Fuller,HOU,WR,IND,30,29,6.86,WR30,139
140,Mohamed Sanu,ATL,WR,CAR,14,28,6.82,WR31,140
141,Cody Parkey,MIA,K,BUF,17,28,6.8,K21,141
141,Jake Elliott,PHI,K,DAL,17,2,6.8,K22,141
143,Nick Rose,LAC,K,OAK,20,30,6.7,K23,143
143,Blair Walsh,SEA,K,ARI,12,14,6.7,K24,143
145,Nick Foles,PHI,QB,DAL,17,21,6.61,QB32,145
146,Martavis Bryant,PIT,WR,CLE,24,13,6.59,WR32,146
147,Randall Cobb,GB,WR,DET,19,15,6.57,WR33,147
148,Eric Ebron,DET,TE,GB,27,4,6.53,TE5,148
149,Mason Crosby,GB,K,DET,19,13,6.5,K25,149
150,Tyrell Williams,LAC,WR,OAK,20,11,6.48,WR34,150
151,Kenny Stills,MIA,WR,BUF,17,5,6.47,WR35,151
152,Arizona Cardinals,ARI,DST,SEA,null,null,6.4,DST19,152
152,Los Angeles Rams,LAR,DST,SF,null,null,6.4,DST20,152
154,Amari Cooper,OAK,WR,LAC,4,7,6.38,WR36,154
155,Devante Parker,MIA,WR,BUF,17,5,6.35,WR37,155
156,Danny Woodhead,BAL,RB,CIN,16,30,6.29,RB37,156
157,Joe Mixon,CIN,RB,BAL,3,23,6.27,RB38,157
158,Paul Richardson,SEA,WR,ARI,12,18,6.23,WR38,158
159,Green Bay Packers,GB,DST,DET,null,null,6.2,DST21,159
159,Philadelphia Eagles,PHI,DST,DAL,null,null,6.2,DST22,159
161,Tion Green,DET,RB,GB,27,22,6.17,RB39,161
162,Antonio Gates,LAC,TE,OAK,20,26,6.16,TE6,162
163,Charles Clay,BUF,TE,MIA,23,30,6.15,TE7,163
164,Carolina Panthers,CAR,DST,ATL,null,null,6.1,DST23,164
164,Cincinnati Bengals,CIN,DST,BAL,null,null,6.1,DST24,164
166,Delanie Walker,TEN,TE,JAX,2,10,6.03,TE8,166
167,Alfred Blue,HOU,RB,IND,30,19,6.02,RB40,167
167,Matt Breida,SF,RB,LAR,10,29,6.02,RB41,167
169,Vernon Davis,WAS,TE,NYG,32,32,6.01,TE9,169
169,Ted Ginn,NO,WR,TB,28,32,6.01,WR39,169
171,Giorgio Tavecchio,OAK,K,LAC,4,7,6,K26,171
171,Houston Texans,HOU,DST,IND,null,null,6,DST25,171
173,Chandler Catanzaro,NYJ,K,NE,23,4,5.9,K27,173
173,Miami Dolphins,MIA,DST,BUF,null,null,5.9,DST26,173
175,Marlon Mack,IND,RB,HOU,31,12,5.86,RB42,175
175,Roger Lewis,NYG,WR,WAS,21,11,5.86,WR40,175
177,Kyle Rudolph,MIN,TE,CHI,7,7,5.84,TE10,177
177,Elijah McGuire,NYJ,RB,NE,23,17,5.84,RB43,177
179,Aldrick Rosas,NYG,K,WAS,21,29,5.8,K28,179
179,Fitzgerald Toussaint,PIT,RB,CLE,24,14,5.8,RB44,179
179,New York Giants,NYG,DST,WAS,null,null,5.8,DST27,179
182,Danny Amendola,NE,WR,NYJ,26,21,5.65,WR41,182
183,Orleans Darkwa,NYG,RB,WAS,21,27,5.56,RB45,183
184,Kendall Wright,CHI,WR,MIN,2,9,5.54,WR42,184
185,Mike Nugent,CHI,K,MIN,2,10,5.5,K29,185
186,Cameron Brate,TB,TE,NO,11,5,5.46,TE11,186
186,TJ Yeldon,JAX,RB,TEN,25,7,5.46,RB46,186
188,Kenny Golladay,DET,WR,GB,27,26,5.39,WR43,188
189,Corey Davis,TEN,WR,JAX,2,1,5.12,WR44,189
190,Cleveland Browns,CLE,DST,PIT,null,null,5.1,DST28,190
191,Ryan Grant,WAS,WR,NYG,32,25,5.07,WR45,191
192,Alshon Jeffery,PHI,WR,DAL,17,24,5.04,WR46,192
193,Javorius Allen,BAL,RB,CIN,16,30,5.01,RB47,193
193,Jason Witten,DAL,TE,PHI,6,14,5.01,TE12,193
195,Benjamin Watson,BAL,TE,CIN,16,18,4.93,TE13,195
195,Nelson Agholor,PHI,WR,DAL,17,24,4.93,WR47,195
197,Corey Coleman,CLE,WR,PIT,5,12,4.91,WR48,197
198,Chicago Bears,CHI,DST,MIN,null,null,4.9,DST29,198
199,Kapri Bibbs,WAS,RB,NYG,32,23,4.83,RB48,199
199,Albert Wilson,KC,WR,DEN,9,4,4.83,WR49,199
201,Randy Bullock,CIN,K,BAL,3,13,4.8,K30,201
202,Jermaine Kearse,NYJ,WR,NE,23,28,4.74,WR50,202
203,Jared Cook,OAK,TE,LAC,4,8,4.73,TE14,203
204,Nate Sudfeld,PHI,QB,DAL,17,21,4.72,QB33,204
205,Oakland Raiders,OAK,DST,LAC,null,null,4.7,DST30,205
206,Corey Clement,PHI,RB,DAL,17,7,4.68,RB49,206
207,Trent Taylor,SF,WR,LAR,10,9,4.59,WR51,207
208,Terrance Williams,DAL,WR,PHI,6,20,4.58,WR52,208
209,Hunter Sharp,NYG,WR,WAS,21,11,4.52,WR53,209
210,Michael Clark,GB,WR,DET,19,15,4.51,WR54,210
210,Eric Decker,TEN,WR,JAX,2,1,4.51,WR55,210
212,Austin Hooper,ATL,TE,CAR,14,11,4.5,TE15,212
212,Tampa Bay Buccaneers,TB,DST,NO,null,null,4.5,DST31,212
214,Geronimo Allison,GB,WR,DET,19,15,4.49,WR56,214
215,Demarcus Robinson,KC,WR,DEN,9,4,4.46,WR57,215
216,Travis Benjamin,LAC,WR,OAK,20,11,4.42,WR58,216
216,Tyler Lockett,SEA,WR,ARI,12,18,4.42,WR59,216
218,Zane Gonzalez,CLE,K,PIT,5,1,4.4,K31,218
219,Brock Osweiler,DEN,QB,KC,22,25,4.39,QB34,219
220,Tavon Austin,LAR,WR,SF,30,23,4.36,WR60,220
221,Trey Burton,PHI,TE,DAL,17,17,4.33,TE16,221
222,Ameer Abdullah,DET,RB,GB,27,22,4.32,RB50,222
223,Braxton Miller,HOU,WR,IND,30,29,4.3,WR61,223
224,Chris Moore,BAL,WR,CIN,16,3,4.28,WR62,224
225,Deonte Thompson,BUF,WR,MIA,23,6,4.25,WR63,225
226,Brandon LaFell,CIN,WR,BAL,3,2,4.23,WR64,226
227,Robert Woods,LAR,WR,SF,30,23,4.22,WR65,227
228,Justin Davis,LAR,RB,SF,30,26,4.19,RB51,228
229,John Brown,ARI,WR,SEA,8,19,4.16,WR66,229
230,Stephen Anderson,HOU,TE,IND,30,23,4.15,TE17,230
231,Demetrius Harris,KC,TE,DEN,9,31,4.09,TE18,231
232,Zach Ertz,PHI,TE,DAL,17,17,4.03,TE19,232
233,Dontrelle Inman,CHI,WR,MIN,2,9,4.01,WR67,233
234,Adam Humphries,TB,WR,NO,11,17,3.99,WR68,234
235,Mike Tolbert,BUF,FB,MIA,23,27,3.95,RB52,235
236,Vance McDonald,PIT,TE,CLE,24,29,3.94,TE20,236
236,Josh Reynolds,LAR,WR,SF,30,23,3.94,WR69,236
238,David Fluellen,TEN,RB,JAX,2,12,3.93,RB53,238
239,Wendell Smallwood,PHI,RB,DAL,17,7,3.92,RB54,239
240,Elijhaa Penny,ARI,RB,SEA,8,10,3.89,RB55,240
241,Tarik Cohen,CHI,RB,MIN,2,1,3.88,RB56,241
242,Bennie Fowler,DEN,WR,KC,22,31,3.87,WR70,242
243,George Kittle,SF,TE,LAR,10,20,3.86,TE21,243
244,David Njoku,CLE,TE,PIT,5,2,3.82,TE22,244
244,De'Anthony Thomas,KC,WR,DEN,9,4,3.82,WR71,244
246,Chester Rogers,IND,WR,HOU,31,30,3.76,WR72,246
247,Doug Martin,TB,RB,NO,11,16,3.75,RB57,247
248,Travis Rudolph,NYG,WR,WAS,21,11,3.72,WR73,248
249,Tyler Kroft,CIN,TE,BAL,3,20,3.71,TE23,249
249,Allen Hurns,JAX,WR,TEN,25,25,3.71,WR74,249
251,AJ Derby,MIA,TE,BUF,17,25,3.65,TE24,251
252,Devante Mays,GB,RB,DET,19,31,3.64,RB58,252
253,Sammy Watkins,LAR,WR,SF,30,23,3.62,WR75,253
253,JD McKissic,SEA,RB,ARI,12,4,3.62,RB59,253
255,Shane Vereen,NYG,RB,WAS,21,27,3.6,RB60,255
256,Branden Oliver,LAC,RB,OAK,20,17,3.54,RB61,256
257,Lance Dunbar,LAR,RB,SF,30,26,3.5,RB62,257
258,Taylor Gabriel,ATL,WR,CAR,14,28,3.46,WR76,258
258,Garrett Celek,SF,TE,LAR,10,20,3.46,TE25,258
260,Charles Sims,TB,RB,NO,11,16,3.45,RB63,260
261,Lance Kendricks,GB,TE,DET,19,22,3.41,TE26,261
262,Kyle Juszczyk,SF,FB,LAR,10,29,3.4,RB64,262
263,Kendrick Bourne,SF,WR,LAR,10,9,3.34,WR77,263
264,Seth Roberts,OAK,WR,LAC,4,7,3.32,WR78,264
264,DJ Foster,ARI,RB,SEA,8,10,3.32,RB65,264
266,Josh Bellamy,CHI,WR,MIN,2,9,3.3,WR79,266
266,Ryan Fitzpatrick,TB,QB,NO,11,11,3.3,QB35,266
268,Deandre Washington,OAK,RB,LAC,4,22,3.27,RB66,268
269,Ricky Seals-Jones,ARI,TE,SEA,8,9,3.13,TE27,269
270,Jesse James,PIT,TE,CLE,24,29,3.12,TE28,270
271,Chad Henne,JAX,QB,TEN,25,22,3.11,QB36,271
272,Eli Rogers,PIT,WR,CLE,24,13,3.06,WR80,272
273,JJ Nelson,ARI,WR,SEA,8,19,3.05,WR81,273
274,Russell Shepard,CAR,WR,ATL,15,13,3.04,WR82,274
274,Jaron Brown,ARI,WR,SEA,8,19,3.04,WR83,274
276,Gerald Everett,LAR,TE,SF,30,16,3.01,TE29,276
277,Zay Jones,BUF,WR,MIA,23,6,3,WR84,277
278,Mike Thomas,LAR,WR,SF,30,23,2.98,WR85,278
279,Tyler Boyd,CIN,WR,BAL,3,2,2.96,WR86,279
280,Chris Godwin,TB,WR,NO,11,17,2.92,WR87,280
281,New York Jets,NYJ,DST,NE,null,null,2.9,DST32,281
282,Torrey Smith,PHI,WR,DAL,17,24,2.86,WR88,282
282,Mack Hollins,PHI,WR,DAL,17,24,2.86,WR89,282
284,Brenton Bersin,CAR,WR,ATL,15,13,2.8,WR90,284
285,Rhett Ellison,NYG,TE,WAS,21,28,2.77,TE30,285
286,Brandon Coleman,NO,WR,TB,28,32,2.76,WR91,286
287,Brandon Bolden,NE,RB,NYJ,26,20,2.67,RB67,287
287,Seth DeValve,CLE,TE,PIT,5,2,2.67,TE31,287
287,Pharoh Cooper,LAR,WR,SF,30,23,2.67,WR92,287
290,Teddy Bridgewater,MIN,QB,CHI,7,7,2.66,QB37,290
291,Niles Paul,WAS,TE,NYG,32,32,2.63,TE32,291
292,Ryan Switzer,DAL,WR,PHI,6,20,2.6,WR93,292
292,Jordan Taylor,DEN,WR,KC,22,31,2.6,WR94,292
294,Brice Butler,DAL,WR,PHI,6,20,2.56,WR95,294
295,Willie Snead,NO,WR,TB,28,32,2.52,WR96,295
296,Josh Hill,NO,TE,TB,28,4,2.47,TE33,296
297,Jakeem Grant,MIA,WR,BUF,17,5,2.46,WR97,297
298,Jaydon Mickens,JAX,WR,TEN,25,25,2.42,WR98,298
299,Chad Hansen,NYJ,WR,NE,23,28,2.34,WR99,299
300,Jalen Richard,OAK,RB,LAC,4,22,2.29,RB68,300
