Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
52,Colt McCoy,CLE,QB,3,9,17,52.9,79,4.6,1,0,85.17,4,15,3.8,0,2.9,8.66
53,TJ Yates,HOU,QB,4,4,10,40,38,3.8,0,1,11.67,2,-1,-0.5,1,0.9,3.42
54,Matt Leinart,OAK,QB,2,16,33,48.5,115,3.5,0,1,44.38,0,0,0,0,1.3,2.6
55,Bruce Gradkowski,CIN,QB,2,5,11,45.5,65,5.9,0,0,64.58,4,-2,-0.5,0,1.2,2.4
56,Derek Anderson,CAR,QB,2,4,4,100,58,14.5,0,0,118.75,0,0,0,0,1.2,2.32
57,Matt Flynn,SEA,QB,3,5,9,55.6,68,7.6,0,0,79.86,4,-5,-1.2,0,0.7,2.22
58,Chase Daniel,NO,QB,16,1,1,100,10,10,0,0,108.33,3,17,5.7,0,0.1,2.1
59,Dan Orlovsky,TB,QB,1,4,7,57.1,51,7.3,0,0,80.06,0,0,0,0,2,2.04
60,Rusty Smith,TEN,QB,1,3,5,60,34,6.8,0,0,80.42,0,0,0,0,1.4,1.36
61,Trent Edwards,PHI,QB,1,2,2,100,14,7,0,0,95.83,0,0,0,0,0.6,0.56
62,David Carr,NYG,QB,2,2,3,66.7,19,6.3,0,0,84.03,3,-3,-1,0,0.2,0.46
63,Kellen Clemens,LAR,QB,2,1,3,33.3,39,13,0,1,42.36,2,5,2.5,0,0,0.06
64,Joe Webb,MIN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
65,Luke McCown,ATL,QB,2,0,0,0,0,0,0,0,0,2,-3,-1.5,0,-0.2,-0.3
66,Brock Osweiler,DEN,QB,5,2,4,50,12,3,0,0,56.25,8,-13,-1.6,0,-0.2,-0.82
67,Graham Harrell,GB,QB,4,2,4,50,20,5,0,0,64.58,4,-3,-0.8,0,-0.4,-1.5
68,Josh Johnson,CLE,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2
69,Ryan Mallett,NE,QB,4,1,4,25,17,4.2,0,1,5.21,8,-9,-1.1,0,-0.6,-2.22
