Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
154,Chris Boswell,PIT,K,NO,13,1,7.46,K23,154
155,Robbie Gould,SF,K,CHI,2,8,7.42,K24,155
156,Mason Foster,WAS,ILB,TEN,3,null,7.4,LB23,156
157,Nigel Bradham,PHI,OLB,HOU,10,null,7.38,LB24,157
157,Deion Jones,ATL,ILB,CAR,22,null,7.38,LB25,157
157,Calvin Ridley,ATL,WR,CAR,22,25,7.38,WR27,157
160,Jamal Adams,NYJ,SS,GB,18,null,7.37,DB1,160
161,Joe Schobert,CLE,ILB,CIN,32,null,7.36,LB26,161
162,Anthony Hitchens,KC,ILB,SEA,11,null,7.35,LB27,162
163,Atlanta Falcons,ATL,DST,CAR,null,null,7.3,DST12,163
164,Khalil Mack,CHI,OLB,SF,26,null,7.28,LB28,164
165,Andrew Adams,TB,FS,DAL,7,null,7.27,DB2,165
166,Calais Campbell,JAX,DE,MIA,28,null,7.26,DL1,166
167,Jordy Nelson,OAK,WR,DEN,20,15,7.23,WR28,167
168,Kyle Van Noy,NE,LB,BUF,4,null,7.2,LB29,168
169,Zach Zenner,DET,RB,MIN,5,10,7.16,RB35,169
170,Evan Engram,NYG,TE,IND,9,18,7.13,TE7,170
171,Shawn Williams,CIN,SS,CLE,24,null,7.11,DB3,171
171,D.J. Moore,CAR,WR,ATL,27,27,7.11,WR29,171
173,Philadelphia Eagles,PHI,DST,HOU,null,null,7.1,DST13,173
174,Thomas Davis,CAR,OLB,ATL,27,null,7.09,LB30,174
174,Reshad Jones,MIA,FS,JAX,6,null,7.09,DB4,174
176,Tahir Whitehead,OAK,OLB,DEN,20,null,7.08,LB31,176
176,Aldrick Rosas,NYG,K,IND,9,22,7.08,K25,176
178,Mike Williams,LAC,WR,BAL,1,5,7.05,WR30,178
179,Demarcus Lawrence,DAL,DE,TB,30,null,7.04,DL2,179
180,Danielle Hunter,MIN,DE,DET,16,null,7.03,DL3,180
180,Robert Foster,BUF,WR,NE,21,11,7.03,WR31,180
182,Vince Williams,PIT,ILB,NO,13,null,7,LB32,182
183,Gerald Hodges,ARI,ILB,LAR,20,null,6.98,LB33,183
183,Sterling Shepard,NYG,WR,IND,9,6,6.98,WR32,183
185,Jordan Poyer,BUF,FS,NE,21,null,6.91,DB5,185
186,Jatavis Brown,LAC,OLB,BAL,1,null,6.9,LB34,186
186,Green Bay Packers,GB,DST,NYJ,null,null,6.9,DST14,186
186,New Orleans Saints,NO,DST,PIT,null,null,6.9,DST15,186
189,Tim Patrick,DEN,WR,OAK,30,16,6.89,WR33,189
190,Antoine Bethea,ARI,SS,LAR,20,null,6.88,DB6,190
190,Aaron Donald,LAR,DT,ARI,15,null,6.88,DL4,190
192,JJ Watt,HOU,DE,PHI,25,null,6.87,DL5,192
192,Tyrann Mathieu,HOU,FS,PHI,25,null,6.87,DB7,192
194,Cairo Santos,TB,K,DAL,7,13,6.86,K26,194
195,Demaryius Thomas,HOU,WR,PHI,25,31,6.83,WR34,195
195,Zach Cunningham,HOU,OLB,PHI,25,null,6.83,LB35,195
197,Fred Warner,SF,OLB,CHI,2,null,6.78,LB36,197
198,Ryan Kerrigan,WAS,OLB,TEN,3,null,6.76,LB37,198
